,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
576,Bracebridge,CA,59.32,clear sky,45.0334,-79.3163,Sleep Inn
578,Berkovica,BA,61.11,scattered clouds,44.6156,18.4294,Ratiš Planina
579,Belmonte,BR,69.98,overcast clouds,-15.8631,-38.8828,Bambusada Hotel
581,Prieska,ZA,59.0,clear sky,-29.6641,22.7474,Avenue GuestHouse
582,Dunda,TZ,58.37,clear sky,-8.1167,34.25,Jongomero Tented Camp
585,Prince Rupert,CA,57.29,overcast clouds,54.3161,-130.3201,The Prince Rupert Hotel
587,La Ronge,CA,62.85,overcast clouds,55.1001,-105.2842,La Ronge Hotel & Suites
589,Fairbanks,US,60.76,broken clouds,64.8378,-147.7164,Super 8 by Wyndham Fairbanks
592,Requena,ES,69.78,broken clouds,39.4883,-1.1004,Hotel Patilla Ciudad de Requena
593,Dondo,MZ,65.62,scattered clouds,-19.6094,34.7431,Matxiquetxique Gansso
595,Kodinsk,RU,60.1,overcast clouds,58.6881,99.1844,Lyuks
596,Monroe,US,66.58,broken clouds,43.1501,-77.6831,Quality Inn & Suites
599,Romny,UA,42.06,scattered clouds,50.751,33.4747,Ромны
604,Wladyslawowo,PL,51.35,overcast clouds,54.7909,18.4009,Hotel
606,Herouville-Saint-Clair,FR,61.79,broken clouds,49.2109,-0.3065,Hotel Bernieres
608,Floro,NO,57.16,overcast clouds,61.5996,5.0328,Quality Hotel Florø
611,Andenes,NO,46.38,overcast clouds,69.3143,16.1194,Andenes Suite Hotel
613,Bururi,BI,59.09,broken clouds,-3.85,29.6333,Auberge Saint Etienne
617,Tsarychanka,UA,46.71,clear sky,48.937,34.4786,Hotelʹ Orilʹ
618,Beloha,MG,67.19,overcast clouds,-25.1667,45.05,Hotel MX congreso
619,Sasolburg,ZA,53.2,clear sky,-26.8136,27.817,Indaba Hotel Sasolburg
620,Aykhal,RU,41.05,broken clouds,66.0,111.5,Hotel Astoria
624,Hofn,IS,52.23,overcast clouds,64.2539,-15.2082,Hótel Höfn
626,Lokosovo,RU,40.98,overcast clouds,61.1333,74.8167,"Gostinitsa ""Anapa"""
631,Khuzhir,RU,54.7,overcast clouds,53.1939,107.3397,Отель на озере Байкал Baikal View
636,Linqiong,CN,67.82,overcast clouds,30.4159,103.4609,Xiuan Hotel
637,Bronnoysund,NO,53.6,broken clouds,65.4625,12.1997,Corner Hotel
639,Grakhovo,RU,45.25,overcast clouds,56.0502,51.9676,Alabuga City Hotel
640,Fort Saint James,CA,52.93,broken clouds,54.4333,-124.25,The View Hotel
641,Zemio,CF,66.7,light rain,5.0314,25.1361,Quehoteles
643,Whitianga,NZ,56.3,scattered clouds,-36.8333,175.7,Whitianga Hotel
644,Faya,SA,66.31,clear sky,18.3851,42.4509,OYO 492 Rose Plaza For Housing Units
645,Allauch,FR,67.35,overcast clouds,43.3357,5.482,Hôtel Des Moulins
646,Sorland,NO,49.86,few clouds,67.667,12.6934,Lofoten Fyr
649,Sambava,MG,68.7,overcast clouds,-14.2667,50.1667,Hôtel Las Palmas
650,Barcs,HU,62.91,broken clouds,45.96,17.4586,Hartmann Panzio
651,Roma,US,65.88,broken clouds,43.2128,-75.4557,Hampton Inn Rome
652,Kindersley,CA,69.82,overcast clouds,51.4668,-109.1682,Best Western Plus Kindersley Hotel
660,Mount Gambier,AU,58.91,light intensity shower rain,-37.8333,140.7667,Blue Lake Motel
662,Coolum Beach,AU,68.11,light rain,-26.5333,153.1,The Point Coolum Beach - Coolum Beach Holiday Accommodation
666,Whyalla,AU,64.72,scattered clouds,-33.0333,137.5833,New Whyalla Hotel
667,Tianpeng,CN,66.67,overcast clouds,30.9866,103.9393,Ibis Hotel
668,Bloomsburg,US,66.11,overcast clouds,41.0037,-76.4549,Quality Inn Bloomsburg
