City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description
184,Yarada,17.65,83.2667,80.92,83,75,5.75,IN,2022-09-11 18:05:32,thunderstorm
185,Tuktoyaktuk,69.4541,-133.0374,38.68,77,98,3.71,CA,2022-09-11 18:05:33,overcast clouds
186,Pierre,44.3683,-100.351,74.32,40,0,5.01,US,2022-09-11 18:05:33,clear sky
187,Tura,25.5198,90.2201,72.68,94,76,6.44,IN,2022-09-11 18:05:33,light rain
188,Jizan,17.3333,42.6667,91.98,57,73,10.13,SA,2022-09-11 18:05:34,broken clouds
189,Kinsale,51.7075,-8.5306,64.24,100,75,12.66,IE,2022-09-11 18:05:34,broken clouds
190,Acapulco,16.8634,-99.8901,84.02,74,100,10.36,MX,2022-09-11 18:02:31,overcast clouds
191,Algarrobo,10.1869,-74.5753,92.05,53,86,3.91,CO,2022-09-11 18:05:35,overcast clouds
192,Viedma,-40.8135,-62.9967,75.92,12,1,16.6,AR,2022-09-11 18:05:35,clear sky
193,Samarai,-10.6167,150.6667,80.1,82,50,9.33,PG,2022-09-11 18:05:35,scattered clouds
194,Vostok,46.4856,135.8833,53.15,90,67,3.89,RU,2022-09-11 18:05:36,broken clouds
195,Merauke,-8.4667,140.3333,77.0,89,100,9.75,ID,2022-09-11 18:05:36,overcast clouds
196,Caravelas,-17.7125,-39.2481,78.58,54,7,7.83,BR,2022-09-11 18:05:37,clear sky
197,Yanggu,36.1106,115.7753,67.6,71,2,1.32,CN,2022-09-11 18:05:37,clear sky
198,Havelock,34.8791,-76.9013,89.58,81,100,4.0,US,2022-09-11 18:05:37,overcast clouds
199,Ahipara,-35.1667,173.1667,58.53,92,55,14.85,NZ,2022-09-11 18:05:38,broken clouds
200,Nuuk,64.1835,-51.7216,48.81,71,100,40.0,GL,2022-09-11 18:01:28,overcast clouds
201,Jerome,42.7241,-114.5186,80.44,25,0,10.36,US,2022-09-11 18:05:38,clear sky
202,Batticaloa,7.7102,81.6924,80.89,72,17,5.57,LK,2022-09-11 18:05:39,few clouds
203,Tuatapere,-46.1333,167.6833,44.94,85,100,6.2,NZ,2022-09-11 18:05:39,overcast clouds
204,Teya,60.3778,92.6267,44.58,90,84,2.66,RU,2022-09-11 18:05:39,broken clouds
205,Norman Wells,65.282,-126.8329,51.13,72,100,9.93,CA,2022-09-11 18:05:40,light rain
206,Barrow,71.2906,-156.7887,33.82,100,100,14.97,US,2022-09-11 18:05:40,mist
207,Dunedin,-45.8742,170.5036,46.8,88,100,4.45,NZ,2022-09-11 18:03:54,overcast clouds
208,Provideniya,64.3833,-173.3,43.72,81,100,18.37,RU,2022-09-11 18:05:41,light rain
209,Vila Velha,-20.3297,-40.2925,73.35,78,100,16.11,BR,2022-09-11 18:05:41,overcast clouds
210,Taranagar,28.6709,75.0351,91.67,46,32,3.29,IN,2022-09-11 18:05:41,scattered clouds
211,Port Augusta,-32.5,137.7667,48.9,79,8,7.49,AU,2022-09-11 18:05:42,clear sky
212,Flinders,-34.5833,150.8552,54.18,58,0,8.99,AU,2022-09-11 18:05:42,clear sky
213,Ketchikan,55.3422,-131.6461,57.67,67,0,9.22,US,2022-09-11 18:05:42,clear sky
214,Rabo De Peixe,37.8,-25.5833,75.27,75,20,18.41,PT,2022-09-11 18:05:43,few clouds
215,Pisco,-13.7,-76.2167,67.01,72,0,10.36,PE,2022-09-11 18:05:10,clear sky
216,Kalat,29.0225,66.5916,73.06,28,51,4.12,PK,2022-09-11 18:05:43,broken clouds
217,Nome,64.5011,-165.4064,46.47,87,100,19.57,US,2022-09-11 18:03:50,overcast clouds
218,Kloulklubed,7.0419,134.2556,75.7,75,100,12.17,PW,2022-09-11 18:05:44,overcast clouds
219,Camopi,3.1655,-52.3158,93.33,39,53,2.35,GF,2022-09-11 18:05:44,broken clouds
220,Iquitos,-3.7481,-73.2472,84.24,79,75,3.44,PE,2022-09-11 18:05:45,broken clouds
221,Cozumel,20.5083,-86.9458,87.87,81,75,10.0,MX,2022-09-11 18:05:45,thunderstorm
222,Sao Pedro Do Sul,-29.6206,-54.1789,63.75,49,38,10.89,BR,2022-09-11 18:05:45,scattered clouds
223,Dingle,10.9995,122.6711,74.61,91,86,3.38,PH,2022-09-11 18:05:46,overcast clouds
224,Atambua,-9.1061,124.8925,70.92,88,72,3.33,ID,2022-09-11 18:05:46,broken clouds
225,Rocha,-34.4833,-54.3333,59.34,44,0,6.29,UY,2022-09-11 18:05:46,clear sky
226,Marienburg,54.0359,19.0266,56.88,67,100,11.23,PL,2022-09-11 18:05:47,overcast clouds
227,Canete,-37.8,-73.4,56.59,59,15,6.22,CL,2022-09-11 18:05:47,few clouds
228,Kudat,6.8837,116.8477,76.59,87,99,7.36,MY,2022-09-11 18:05:48,overcast clouds
229,Sabang,5.8933,95.3214,81.23,76,97,7.94,ID,2022-09-11 18:05:48,overcast clouds
230,Honiara,-9.4333,159.95,76.24,85,68,6.85,SB,2022-09-11 18:05:48,broken clouds
231,Progreso,21.2833,-89.6667,89.71,57,100,3.8,MX,2022-09-11 18:06:49,overcast clouds
232,Havoysund,70.9963,24.6622,43.03,92,100,7.07,NO,2022-09-11 18:06:49,light rain
233,Pakenham,-38.0667,145.4833,50.23,86,79,1.99,AU,2022-09-11 18:06:50,broken clouds
234,Tutoia,-2.7619,-42.2744,84.07,64,59,12.57,BR,2022-09-11 18:06:50,broken clouds
235,Lasa,46.6166,10.7002,61.36,69,17,4.59,IT,2022-09-11 18:06:50,few clouds
236,Valdemoro,40.1908,-3.6789,94.93,17,0,4.61,ES,2022-09-11 18:06:51,clear sky
237,Gamba,-2.65,10.0,74.86,80,55,7.74,GA,2022-09-11 18:06:51,broken clouds
238,Talas,38.6908,35.5538,68.67,35,0,2.3,TR,2022-09-11 18:06:51,clear sky
239,Pangody,65.85,74.4859,41.25,70,100,13.44,RU,2022-09-11 18:06:52,overcast clouds
240,Te Anau,-45.4167,167.7167,44.08,89,100,2.73,NZ,2022-09-11 18:05:34,light rain
241,Ilulissat,69.2167,-51.1,39.99,94,100,7.02,GL,2022-09-11 18:06:52,light rain
242,Taoudenni,22.6783,-3.9836,108.01,10,42,1.34,ML,2022-09-11 18:06:53,scattered clouds
243,Alenquer,-1.9417,-54.7383,98.1,30,17,5.26,BR,2022-09-11 18:06:53,few clouds
244,Husavik,66.0449,-17.3389,49.57,95,100,6.91,IS,2022-09-11 18:06:53,overcast clouds
245,Levelland,33.5873,-102.378,66.18,58,86,4.36,US,2022-09-11 18:05:45,overcast clouds
246,Mawlaik,23.6333,94.4167,73.06,100,89,0.11,MM,2022-09-11 18:06:54,overcast clouds
247,Cukai,4.25,103.4167,75.79,90,100,3.02,MY,2022-09-11 18:06:55,overcast clouds
248,Sorong,-0.8833,131.25,78.26,84,100,3.6,ID,2022-09-11 18:05:19,overcast clouds
249,Esperance,-33.8667,121.9,58.71,60,57,19.84,AU,2022-09-11 18:06:55,broken clouds
250,Guayaramerin,-10.8368,-65.3614,90.37,45,79,3.06,BO,2022-09-11 18:06:55,broken clouds
251,Narsaq,60.9167,-46.05,46.62,68,54,6.8,GL,2022-09-11 18:06:56,broken clouds
252,Watsa,3.0372,29.5355,66.31,97,79,0.94,CD,2022-09-11 18:06:56,moderate rain
253,Matara,5.9485,80.5353,77.25,90,68,9.51,LK,2022-09-11 18:06:57,broken clouds
254,Whitehorse,60.7161,-135.0538,47.1,56,9,0.96,CA,2022-09-11 18:06:57,clear sky
255,Touros,-5.1989,-35.4608,81.3,64,73,16.75,BR,2022-09-11 18:06:57,broken clouds
256,Cabra,37.4725,-4.4421,90.28,24,70,10.58,ES,2022-09-11 18:06:58,broken clouds
257,Kruisfontein,-34.0033,24.7314,56.88,80,100,16.8,ZA,2022-09-11 18:06:58,overcast clouds
258,Montevideo,-34.8335,-56.1674,62.62,45,0,10.36,UY,2022-09-11 18:06:59,clear sky
259,Coffs Harbour,-30.3,153.1333,58.96,77,100,6.91,AU,2022-09-11 18:06:25,overcast clouds
